date,tweet
2021-07-01 09:24:21+00:00,"Baby Doge, doo, doo, doo, doo, doo,
Baby Doge, doo, doo, doo, doo, doo,
Baby Doge, doo, doo, doo, doo, doo,
Baby Doge"
2021-07-01 08:42:11+00:00,Stop gendering memes ¡¦ I mean mimes
2021-06-30 20:11:10+00:00,"Rapidly Reusable Rockets, R R R ?????"
2021-06-28 20:25:03+00:00,Thanks for all the happy birthday wishes!
2021-06-25 22:51:28+00:00,"Starlink simultaneously active users just exceeded the strategically important threshold of 69,420 last night!"
2021-06-25 11:03:04+00:00,My Shiba Inu will be named Floki
2021-06-25 02:10:31+00:00,How many Bitcoin maxis does it take to screw in a lightbulb?
2021-06-24 01:10:10+00:00,Shout out to the awesome Tesla global team. Thanks for working so hard to make Tesla successful!
2021-06-21 18:59:34+00:00,"Looking at holding Tesla AI Day in about a month or so. Will go over progress with Tesla AI software &amp; hardware, both training &amp; inference. Purpose is recruiting."
2021-06-20 20:19:20+00:00,Happy Father¡¯s Day!
2021-06-16 22:37:20+00:00,Let¡¯s just skip original video games &amp; movies &amp; go straight to the sequel
2021-06-14 08:21:46+00:00,Could turn out to be one big Philip K Dick joke in the end
2021-06-14 08:13:50+00:00,"Pluto takes 248 years to orbit the sun, but Uranus only takes 84"
2021-06-06 20:45:13+00:00,Model S goes to Plaid speed this week
2021-06-05 21:18:43+00:00,"Don¡¯t kill what you hate,
Save what you love"
2021-06-05 18:55:49+00:00,"Goods &amp; services are the real economy, any form of money is simply the accounting thereof"
2021-06-05 08:39:49+00:00,???? ?&gt; ??
2021-06-04 03:25:26+00:00,"Canada
USA
Mexico"
2021-05-29 05:01:18+00:00,"Model S Plaid delivery pushed to June 10. Needs one more week of tweak.

This car feels like a spaceship. Words cannot describe the limbic resonance."
2021-05-24 19:42:36+00:00,Spoke with North American Bitcoin miners. They committed to publish current &amp; planned renewable usage &amp; to ask miners WW to do so. Potentially promising.
2021-05-22 09:22:41+00:00,Any sufficiently advanced magic is indistinguishable from technology
2021-05-20 07:54:54+00:00,"Tesla Model S Plaid delivery event
June 3 at our California factory

Fastest production car ever
0 to 60mph in under 2 secs"
2021-05-19 14:42:44+00:00,Tesla has ?? ??
2021-05-18 11:46:18+00:00,Giga Berlin suppliers please accelerate!
2021-05-13 22:45:16+00:00,Working with Doge devs to improve system transaction efficiency. Potentially promising.
2021-05-13 21:11:46+00:00,"To be clear, I strongly believe in crypto, but it can¡¯t drive a massive increase in fossil fuel use, especially coal"
2021-05-13 20:59:45+00:00,It is high time there was a carbon tax!
2021-05-11 08:13:35+00:00,Do you want Tesla to accept Doge?
2021-05-10 23:32:58+00:00,"Thanks again to @nbcsnl cast, writers &amp; crew! Honor &amp; pleasure to do the show with you."
2021-05-08 01:22:52+00:00,Cybertruck prototype in New York this weekend
2021-05-06 19:26:59+00:00,Make humanity a multiplanet species!
2021-05-06 19:26:09+00:00,Public support for life on Mars is critical to making it happen
2021-05-05 22:37:20+00:00,Starship landing nominal!
2021-05-02 03:13:36+00:00,I love Art Deco
2021-05-01 21:49:50+00:00,Throwing out some skit ideas for SNL. What should I do?
2021-05-01 21:36:22+00:00,"Woke James Bond
SNL May 8"
2021-04-29 22:45:59+00:00,"A major part of real-world AI has to be solved to make unsupervised, generalized full self-driving work, as the entire road system is designed for biological neural nets with optical imagers"
2021-04-28 06:20:47+00:00,"The Dogefather
SNL May 8"
2021-04-27 00:15:00+00:00,"Starship SN15 static fire completed, preparing for flight later this week"
2021-04-25 03:20:46+00:00,Let¡¯s find out just how live Saturday Night Live really is ??
2021-04-25 03:09:25+00:00,Am hosting SNL on May 8
2021-04-24 08:55:19+00:00,define ¡¦ beauty
2021-04-24 08:54:25+00:00,What does the future hodl?
2021-04-22 20:57:44+00:00,?????? Happy Earth Day ??????
2021-04-22 05:49:17+00:00,Tesla Solar + Powerwall battery enables consumers to be their own utility
2021-04-22 01:27:43+00:00,"Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery"
2021-04-17 04:46:34+00:00,"If we make life multiplanetary, there may come a day when some plants &amp; animals die out on Earth, but are still alive on Mars"
2021-04-17 01:37:48+00:00,Everything to the moon!
2021-04-16 02:13:57+00:00,???? Austin Rocks!! ?? ??
2021-04-16 00:50:37+00:00,Make life multiplanetary! #Mars
2021-04-15 03:42:35+00:00,"?

           ????¢½"
2021-04-14 21:57:08+00:00,Tesla AI/Autopilot engineering is awesome! Making excellent progress solving real-world AI.
2021-04-11 12:23:49+00:00,The art In Cyberpunk is incredible
2021-04-10 07:45:10+00:00,The Starship launch tower that catches the giant rocket booster is basically Mechazilla
